Wall time,Step,Value
1582275151.1606166,2000,3.367229700088501
1582275230.3962948,4000,3.3432939052581787
1582275306.70289,6000,3.2756690979003906
1582275382.9899874,8000,3.177631139755249
1582275459.5602703,10000,3.0661778450012207
1582275535.753089,12000,2.924501895904541
1582275613.5295894,14000,2.795673131942749
1582275691.8888361,16000,2.6569275856018066
1582275773.001842,18000,2.548767566680908
1582275853.3071756,20000,2.394120216369629
1582275935.6378155,22000,2.3967578411102295
1582276016.2811315,24000,2.343498945236206
1582276095.9075315,26000,2.217238664627075
1582276176.1150687,28000,2.232536554336548
1582276261.4259822,30000,2.1893258094787598
1582276341.2604153,32000,2.1578264236450195
1582276422.5332427,34000,2.1408934593200684
1582276508.078094,36000,2.009645938873291
1582276590.2796972,38000,1.9461218118667603
1582276672.8202674,40000,1.95490300655365
1582276754.0291154,42000,1.8795371055603027
1582276835.5865853,44000,1.9376912117004395
1582276919.6608336,46000,1.9232614040374756
1582277000.9518647,48000,1.8860838413238525
1582277082.81109,50000,1.796425223350525
1582277164.076081,52000,1.8367770910263062
1582277249.0878043,54000,1.7918777465820312
1582277335.3044496,56000,1.772763729095459
1582277418.5760489,58000,1.7693835496902466
1582277503.7513952,60000,1.686579704284668
1582277584.8595357,62000,1.7569231986999512
1582277668.7363398,64000,1.8022377490997314
1582277752.6538746,66000,1.762076735496521
1582277836.9009845,68000,1.6982327699661255
1582277924.7910357,70000,1.7000620365142822
1582278012.157284,72000,1.7923239469528198
1582278097.8895013,74000,1.7706067562103271
1582278185.9534993,76000,1.8035047054290771
1582278280.200203,78000,1.8125139474868774
1582278368.2407014,80000,1.8190361261367798
1582278454.7462711,82000,1.806657075881958
1582278546.9993854,84000,1.8036316633224487
1582278636.3613427,86000,1.7228381633758545
1582278725.8659995,88000,1.7608088254928589
1582278818.4358516,90000,1.8219155073165894
1582278903.6174567,92000,1.753692388534546
1582278986.9549239,94000,1.7541512250900269
1582279068.1998835,96000,1.770423412322998
1582279148.1293619,98000,1.7601454257965088
1582279232.4140177,100000,1.8257005214691162
1582279312.8844914,102000,1.782343864440918
1582279392.4842489,104000,1.7541465759277344
1582279474.4292176,106000,1.7589201927185059
1582279559.4978523,108000,1.7705744504928589
1582279647.289622,110000,1.7637574672698975
1582279763.2842414,112000,1.8543238639831543
1582280106.4133668,2000,3.3672022819519043
1582280194.5524187,4000,3.3523004055023193
1582280268.5685155,6000,3.3120439052581787
1582280343.1278129,8000,3.2539498805999756
1582280418.610222,10000,3.1747546195983887
1582280492.6126182,12000,3.0918939113616943
1582280567.8234441,14000,2.9650328159332275
1582280642.5458615,16000,2.813857316970825
1582280716.76025,18000,2.6517887115478516
1582280792.5526597,20000,2.5088350772857666
1582280867.8372343,22000,2.370612382888794
1582280945.010872,24000,2.242471218109131
1582281022.5337112,26000,2.0353448390960693
1582281099.506453,28000,1.992294192314148
1582281180.3524976,30000,1.8555012941360474
1582281257.4857378,32000,1.750891089439392
1582281336.1752226,34000,1.7815502882003784
1582281416.324472,36000,1.6020289659500122
1582281493.154526,38000,1.5480318069458008
1582281571.38744,40000,1.5691295862197876
1582281648.9131873,42000,1.456803798675537
1582281726.427079,44000,1.3826189041137695
1582281806.0860062,46000,1.4307349920272827
1582281884.1829782,48000,1.3620141744613647
1582281962.5581348,50000,1.2948155403137207
1582282039.8140357,52000,1.3141602277755737
1582282119.463989,54000,1.3093372583389282
1582282199.4932706,56000,1.23521089553833
1582282278.0392377,58000,1.228563904762268
1582282359.5043347,60000,1.1750794649124146
1582282436.6836822,62000,1.1315090656280518
1582282515.0720313,64000,1.2044901847839355
1582282594.6855893,66000,1.1472413539886475
1582282672.9209814,68000,1.076255202293396
1582282753.11024,70000,1.1869642734527588
1582282832.5627284,72000,1.0970957279205322
1582282910.541498,74000,1.0774683952331543
1582282991.5191875,76000,1.1315053701400757
1582283070.7722275,78000,1.0574270486831665
1582283150.2402768,80000,1.0325053930282593
1582283228.1927564,82000,1.1179968118667603
1582283307.6269383,84000,1.0474144220352173
1582283387.1914663,86000,0.9995960593223572
1582283466.138213,88000,1.0510082244873047
1582283545.6544511,90000,0.9720690846443176
1582283623.9531002,92000,0.9472326636314392
1582283703.2226055,94000,1.0209931135177612
1582283783.3811488,96000,0.9577769041061401
1582283861.2186005,98000,0.9558365345001221
1582283941.6274385,100000,1.0040040016174316
1582284018.2014816,102000,0.9630460739135742
1582284096.4287488,104000,0.9793669581413269
1582284176.665447,106000,1.002626657485962
1582284254.5942817,108000,0.9835706353187561
1582284333.1244895,110000,0.9764220118522644
1582284411.930792,112000,0.9956557154655457
1582284490.0999305,114000,0.9508591294288635
1582284569.2853518,116000,0.9879589676856995
1582284649.1664488,118000,0.9540046453475952
1582284726.670322,120000,0.9007593989372253
1582284803.4244165,122000,0.972297191619873
1582284882.526123,124000,0.9694969654083252
1582284961.152149,126000,0.874078631401062
1582285039.6872292,128000,0.9541942477226257
1582285119.7844226,130000,0.9073715806007385
1582285196.2512484,132000,0.8565963506698608
1582285274.502971,134000,0.9465280175209045
1582285354.012399,136000,0.8618783950805664
1582285431.040735,138000,0.8439509272575378
1582285509.2855053,140000,0.8937722444534302
1582285587.7500641,142000,0.9051610231399536
1582285665.37261,144000,0.8494985103607178
1582285745.7423072,146000,0.9147194623947144
1582285823.494984,148000,0.8687502145767212
1582285901.3798397,150000,0.8330295085906982
1582285978.3608158,152000,0.8752684593200684
1582286057.4756367,154000,0.8828503489494324
1582286136.738445,156000,0.8349823355674744
1582286216.1618555,158000,0.9344843029975891
1582286294.3571382,160000,0.8506484031677246
1582286370.833326,162000,0.8293708562850952
1582286449.66624,164000,0.9196323156356812
1582286528.363492,166000,0.8517380952835083
1582286605.1678464,168000,0.8270366191864014
1582286683.5104277,170000,0.8851923942565918
1582286761.9091835,172000,0.867211639881134
1582286840.787185,174000,0.8215975165367126
1582286919.6049733,176000,0.8964942097663879
1582286998.1160073,178000,0.8557140827178955
1582287075.4440901,180000,0.8561787605285645
1582287152.886698,182000,0.9195114970207214
1582287233.6436975,184000,0.8718343377113342
1582287311.0678933,186000,0.8351962566375732
1582287390.6957486,188000,0.9198998808860779
1582287469.6060615,190000,0.8526444435119629
1582287546.4668632,192000,0.8101683259010315
1582287625.6755028,194000,0.9184991717338562
1582287703.675575,196000,0.8242034316062927
1582287780.9702995,198000,0.7988004088401794
1582287859.4170525,200000,0.8701577186584473
1582287937.0508292,202000,0.8065613508224487
1582288014.8678198,204000,0.7871226668357849
1582288093.3805864,206000,0.893927812576294
1582288171.520758,208000,0.8062658905982971
1582288248.9896896,210000,0.7742336392402649
1582288326.8857229,212000,0.8816196322441101
1582288406.4210289,214000,0.8153471946716309
1582288484.0039744,216000,0.7550086379051208
1582288562.8167758,218000,0.8620878458023071
1582288642.178333,220000,0.7708007097244263
1582288717.9210684,222000,0.7574596405029297
1582288798.0322564,224000,0.8680864572525024
1582288876.052583,226000,0.7857345938682556
1582288953.6503258,228000,0.7413546442985535
1582289033.5094712,230000,0.84722501039505
1582289112.7468326,232000,0.7810719609260559
1582289189.6642075,234000,0.7570317983627319
1582289269.22835,236000,0.8530659079551697
1582289347.495809,238000,0.7602725028991699
1582289425.1080155,240000,0.7736630439758301
1582289504.500166,242000,0.8365739583969116
1582289582.3848991,244000,0.7915648818016052
1582289660.2268088,246000,0.7555069327354431
1582289739.6831748,248000,0.820250391960144
1582289818.4264994,250000,0.7633280158042908
1582289897.115649,252000,0.8312140703201294
1582289975.906006,254000,0.8416206240653992
1582290053.497532,256000,0.7848024368286133
1582290131.832123,258000,0.8818639516830444
1582290212.6811252,260000,0.8128291368484497
1582290290.2747238,262000,0.7696701884269714
1582290368.4321344,264000,0.8538564443588257
1582290447.0465226,266000,0.8041528463363647
1582290524.5825098,268000,0.7713474631309509
1582290603.7777505,270000,0.844413697719574
1582290683.7066615,272000,0.7766723036766052
1582290760.743639,274000,0.7462648153305054
1582290839.0334857,276000,0.8485136032104492
1582290917.5612097,278000,0.7391987442970276
1582290996.0536718,280000,0.7323117256164551
1582291074.155805,282000,0.8208093047142029
1582291152.9629712,284000,0.7448083758354187
1582291229.3846774,286000,0.735224723815918
1582291308.2488503,288000,0.8462235331535339
1582291389.129048,290000,0.7311252355575562
1582291465.1768346,292000,0.7305252552032471
1582291544.5998423,294000,0.8288612365722656
1582291623.3648503,296000,0.7300114035606384
1582291700.5408337,298000,0.7277460694313049
1582291781.4528918,300000,0.8241316676139832
1582291859.1737483,302000,0.7351970672607422
1582291936.801618,304000,0.7405400276184082
1582292017.030266,306000,0.8021067380905151
1582292096.7692416,308000,0.7144940495491028
1582292174.7244406,310000,0.7778785228729248
1582292253.7803333,312000,0.8054415583610535
1582292331.6221106,314000,0.7551767230033875
1582292409.2123904,316000,0.8039466142654419
1582292489.3471713,318000,0.798366904258728
1582292567.4811687,320000,0.7591001987457275
1582292644.2495043,322000,0.7909870743751526
1582292723.2276793,324000,0.7906547784805298
1582292800.5833762,326000,0.7471731901168823
1582292879.5331469,328000,0.770146369934082
1582292958.8635106,330000,0.8019461035728455
1582293036.2421234,332000,0.7192270159721375
1582293114.3337207,334000,0.817906379699707
1582293194.169334,336000,0.7526612281799316
1582293272.749538,338000,0.7519704103469849
1582293351.8292654,340000,0.8176661729812622
1582293430.8276453,342000,0.7423387765884399
1582293508.615833,344000,0.7342702746391296
1582293587.200576,346000,0.8225693106651306
1582293667.149647,348000,0.7493431568145752
1582293745.2936997,350000,0.7065410017967224
1582293823.6130874,352000,0.8222660422325134
1582293901.9678638,354000,0.7446158528327942
1582293979.2566607,356000,0.7235999703407288
1582294059.7786236,358000,0.8321124315261841
1582294138.3844378,360000,0.7509928941726685
1582294215.2376337,362000,0.7407333254814148
1582294293.7193677,364000,0.8552106618881226
1582294371.548075,366000,0.7666761875152588
1582294450.0085096,368000,0.8020811080932617
1582294528.8453834,370000,0.9185575842857361
1582294606.9379678,372000,0.7639386653900146
1582294683.9792671,374000,0.7455251812934875
1582294762.997863,376000,0.7657251358032227
1582294841.2219443,378000,0.7783697843551636
1582294919.6222465,380000,0.7157939076423645
1582294997.5041547,382000,0.7590202689170837
1582299122.5611026,384000,0.7595593333244324
1582299201.8564706,386000,0.7071599960327148
1582299279.4839253,388000,0.7631000280380249
