Wall time,Step,Value
1582116326.799305,2000,-5.427311420440674
1582116410.6344337,4000,-5.305000305175781
1582116494.3115935,6000,-3.670261859893799
1582116575.0561633,8000,-2.3768439292907715
1582116655.095366,10000,-1.0803197622299194
1582116735.2907166,12000,0.1593325436115265
1582116816.2987843,14000,1.3255116939544678
1582116898.2377484,16000,1.9178695678710938
1582116979.0673387,18000,2.7439820766448975
1582117064.4576666,20000,3.1830296516418457
1582117145.3908062,22000,3.5096325874328613
1582117225.9545453,24000,3.560640811920166
1582117308.149916,26000,3.834545850753784
1582117389.5506177,28000,3.895486831665039
1582117472.5951655,30000,4.165419578552246
1582117556.129321,32000,4.270196437835693
1582117645.1006863,34000,4.336242198944092
1582117735.678126,36000,4.504241466522217
1582117825.2359948,38000,4.530122756958008
1582117923.4761062,40000,4.552516460418701
1582118021.5551398,42000,4.554894924163818
1582118113.5199854,44000,4.487729549407959
1582118208.9885552,46000,4.4863152503967285
1582118302.114482,48000,4.473473072052002
1582118399.077412,50000,4.267341136932373
1582118492.5920482,52000,4.770588397979736
1582118593.2053895,54000,4.829215049743652
1582118690.5639539,56000,4.851090908050537
1582118787.3236456,58000,4.7570319175720215
1582118877.8221102,60000,4.79472541809082
1582118972.9612439,62000,4.806744575500488
1582119072.671882,64000,4.892460823059082
1582119170.1002338,66000,4.923766136169434
1582119268.8023844,68000,4.890055179595947
1582119362.112001,70000,4.772526741027832
1582119456.8608582,72000,4.901758193969727
1582119559.9443498,74000,4.906000137329102
1582119650.9576201,76000,4.866810321807861
1582119746.2183988,78000,4.874940395355225
1582119848.514913,80000,4.820456027984619
1582119947.655862,82000,4.971939563751221
1582120045.7196107,84000,4.9034104347229
1582120151.408775,86000,4.9272236824035645
1582120251.279846,88000,4.951987266540527
1582120349.7328978,90000,4.917969226837158
1582120446.666792,92000,4.949331760406494
1582120538.6575506,94000,5.012500286102295
1582120638.9169784,96000,5.055168628692627
1582120733.813975,98000,5.045627593994141
1582120831.0300646,100000,5.060340881347656
1582120927.9793086,102000,4.988111972808838
1582121031.160363,104000,5.037175178527832
1582121128.8067935,106000,5.021846294403076
1582121225.3729517,108000,5.070484638214111
1582121326.1668234,110000,5.058591365814209
1582121423.8745503,112000,5.0261616706848145
1582121530.4757292,114000,5.083749294281006
1582121633.8635628,116000,4.9961981773376465
1582121740.4003682,118000,4.949216842651367
1582121837.2626421,120000,4.992427349090576
1582121932.121787,122000,5.042558193206787
1582122023.983291,124000,5.001525402069092
1582122579.0519807,126000,5.032780170440674
1582122668.6998987,128000,5.021254062652588
1582122758.666922,130000,4.92903470993042
1582122846.6304622,132000,4.95119571685791
1582122931.2004993,134000,4.993148326873779
1582123015.456834,136000,5.053045749664307
1582123104.1429722,138000,4.9503631591796875
1582123195.9392054,140000,4.927304744720459
1582123282.247477,142000,4.9937310218811035
1582123374.7967687,144000,5.027980327606201
1582123466.330022,146000,5.013309478759766
1582123559.9302733,148000,5.0021562576293945
1582123650.44298,150000,5.113832950592041
1582123743.356564,152000,5.07317590713501
1582123832.8021748,154000,5.127190589904785
1582123919.6277504,156000,5.020480155944824
1582124012.9212105,158000,5.069725036621094
1582124099.244046,160000,5.0630574226379395
1582124183.3167713,162000,5.0868239402771
1582124265.863255,164000,5.131848335266113
1582124353.4492574,166000,5.057348728179932
1582124443.7025023,168000,5.147828102111816
1582124532.2948163,170000,5.190794467926025
1582124623.4513264,172000,5.099578857421875
1582124713.972047,174000,5.074485778808594
1582124806.121644,176000,5.074982643127441
1582124896.1526203,178000,5.135100841522217
1582124988.1240122,180000,5.137115955352783
1582125075.0008667,182000,5.105599403381348
1582125163.3158858,184000,5.169915676116943
1582125251.9032395,186000,5.126263618469238
1582125341.3813822,188000,5.147172927856445
1582125432.5245755,190000,5.104159355163574
1582125655.835003,192000,5.098052501678467
1582125741.5945745,194000,5.073030948638916
1582125828.5808737,196000,5.0803961753845215
1582125914.188298,198000,5.062431335449219
1582125999.939931,200000,5.124684810638428
1582126086.794833,202000,5.14003324508667
